timestamp,open,high,low,close,volume
2024-03-21 15:45:00,522.835,522.86,521.94,522.08,114122
2024-03-22 09:30:00,522.14,522.435,521.75,521.75,23960
2024-03-22 09:45:00,521.7,522.0,521.51,521.735,27370
2024-03-22 10:00:00,521.8,522.275,521.745,521.745,23263
2024-03-22 10:15:00,521.61,521.975,521.43,521.72,21531
2024-03-22 10:30:00,521.73,521.795,521.205,521.205,19252
2024-03-22 10:45:00,521.305,521.37,521.03,521.08,23278
2024-03-22 11:00:00,521.05,521.62,521.04,521.51,15839
2024-03-22 11:15:00,521.52,521.745,521.35,521.7,26041
2024-03-22 11:30:00,521.72,521.835,521.435,521.515,27963
2024-03-22 11:45:00,521.49,521.67,521.43,521.67,14330
2024-03-22 12:00:00,521.695,521.775,521.365,521.44,22337
2024-03-22 12:15:00,521.4,521.52,521.23,521.45,15466
2024-03-22 12:30:00,521.48,521.52,520.98,521.5,24254
2024-03-22 12:45:00,521.51,521.845,521.5,521.84,56237
2024-03-22 13:00:00,521.87,522.08,521.78,522.025,21573
2024-03-22 13:15:00,522.01,522.14,521.865,522.0,18521
2024-03-22 13:30:00,522.12,522.235,521.925,522.115,18774
2024-03-22 13:45:00,522.195,522.58,522.11,522.54,17643
2024-03-22 14:00:00,522.505,522.59,522.33,522.37,21924
2024-03-22 14:15:00,522.345,522.575,521.975,522.51,26022
2024-03-22 14:30:00,522.51,522.515,522.11,522.16,24619
2024-03-22 14:45:00,522.2,522.26,521.96,522.18,16515
2024-03-22 15:00:00,522.15,522.16,521.36,521.465,27838
2024-03-22 15:15:00,521.515,521.74,521.135,521.695,23525
2024-03-22 15:30:00,521.7,522.005,521.42,521.97,32185
2024-03-22 15:45:00,521.935,522.35,521.295,521.4,145395
2024-03-22 16:00:00,521.12,521.12,521.12,521.12,500
2024-03-25 09:30:00,519.785,520.31,519.63,519.84,25455
2024-03-25 09:45:00,519.69,520.39,519.66,520.31,36050
2024-03-25 10:00:00,520.24,520.74,520.08,520.64,39063
2024-03-25 10:15:00,520.67,520.85,520.5,520.5,11712
2024-03-25 10:30:00,520.46,520.63,520.26,520.4,6401
2024-03-25 10:45:00,520.405,520.65,520.14,520.65,16832
2024-03-25 11:00:00,520.66,520.79,520.49,520.515,14786
2024-03-25 11:15:00,520.57,520.745,520.4,520.64,11257
2024-03-25 11:30:00,520.64,520.78,520.435,520.715,9521
2024-03-25 11:45:00,520.7,520.845,520.545,520.585,12282
2024-03-25 12:00:00,520.605,520.61,520.3,520.525,59930
2024-03-25 12:15:00,520.52,520.675,520.47,520.47,14906
2024-03-25 12:30:00,520.5,520.555,520.34,520.4,33440
2024-03-25 12:45:00,520.425,520.565,520.255,520.41,15764
2024-03-25 13:00:00,520.445,520.51,520.19,520.385,28564
2024-03-25 13:15:00,520.41,520.58,520.26,520.52,15275
2024-03-25 13:30:00,520.565,520.705,520.435,520.67,17428
2024-03-25 13:45:00,520.67,520.68,520.46,520.67,14541
2024-03-25 14:00:00,520.67,520.815,520.595,520.785,21262
2024-03-25 14:15:00,520.745,520.9,520.73,520.86,43693
2024-03-25 14:30:00,520.86,520.93,520.7,520.715,25160
2024-03-25 14:45:00,520.7,520.85,520.67,520.83,12711
2024-03-25 15:00:00,520.83,520.83,520.32,520.445,31396
2024-03-25 15:15:00,520.425,520.545,520.205,520.29,28002
2024-03-25 15:30:00,520.29,520.69,520.25,520.49,35738
2024-03-25 15:45:00,520.52,520.6,519.67,519.88,126420
2024-03-25 16:00:00,519.81,520.01,519.8,519.82,10676
2024-03-26 09:30:00,521.14,521.41,520.84,521.155,26779
2024-03-26 09:45:00,521.165,521.27,520.93,521.24,48351
2024-03-26 10:00:00,521.28,521.43,521.02,521.345,32708
2024-03-26 10:15:00,521.345,521.56,520.965,521.08,34470
2024-03-26 10:30:00,521.025,521.185,520.74,521.135,36113
2024-03-26 10:45:00,521.115,521.335,520.945,521.28,23993
2024-03-26 11:00:00,521.33,521.39,521.16,521.24,8616
2024-03-26 11:15:00,521.18,521.38,521.13,521.29,9185
