exit_time,sym,direction,entry_price,exit_price,dollar_pos,pnl
2024-04-02 09:30:00-04:00,ES,Long,523.469970703125,517.1699829101562,451368.2251266201,-5432.239607960956
2024-04-02 09:30:00-04:00,YM,Long,397.74951171875,391.32000732421875,287276.4213399426,-4643.739235452345
2024-04-02 12:30:00-04:00,ES,Long,517.1699829101562,517.6699829101562,373267.98373868834,360.87553036071427
2024-04-02 12:30:00-04:00,NQ,Short,444.4800109863281,439.889892578125,-287231.43968572747,2966.2218460408944
2024-04-02 13:30:00-04:00,NQ,Short,439.889892578125,439.94000244140625,-317833.90478326724,-36.20590921398988
2024-04-03 09:30:00-04:00,NQ,Short,439.94000244140625,443.0000915527344,-338214.88926086633,-2352.52010313399
2024-04-03 10:30:00-04:00,ES,Long,517.6699829101562,520.8099975585938,349681.5909714639,2121.052705754218
2024-04-03 10:30:00-04:00,NQ,Short,443.0000915527344,443.7799987792969,-314628.91461932013,-553.9081568517319
2024-04-03 10:30:00-04:00,YM,Long,391.32000732421875,392.4100036621094,355568.9340797336,990.4140569369658
2024-04-03 14:30:00-04:00,ES,Long,520.8099975585938,518.530029296875,439488.26334168646,-1923.9632428603772
2024-04-03 14:30:00-04:00,NQ,Short,443.7799987792969,441.17999267578125,-282285.4003677641,1653.8459730235556
2024-04-03 14:30:00-04:00,YM,Long,392.4100036621094,390.55999755859375,297170.71523631574,-1401.0031136888997
2024-04-04 09:30:00-04:00,NQ,Short,441.17999267578125,445.5799865722656,-323894.25938826136,-3230.27514409973
2024-04-04 09:30:00-04:00,YM,Long,390.55999755859375,392.9100036621094,339504.66816850606,2042.8053240356253
2024-04-04 10:30:00-04:00,NQ,Short,445.5799865722656,445.42999267578125,-282337.03320005117,95.04204185042711
2024-04-04 12:30:00-04:00,NQ,Short,445.42999267578125,446.3299865722656,-309810.59616458416,-625.9741153471537
2024-04-04 13:30:00-04:00,NQ,Short,446.3299865722656,441.44000244140625,-351587.68061644793,3851.9889555789864
2024-04-04 14:30:00-04:00,ES,Long,518.530029296875,513.6900024414062,354694.2373168681,-3310.7622260981248
2024-04-04 14:30:00-04:00,NQ,Short,441.44000244140625,436.04998779296875,-276931.57832506526,3381.354783281438
2024-04-05 15:30:00-04:00,ES,Long,513.6900024414062,518.4000244140625,308312.87303636206,2826.919736713548
2024-04-05 15:30:00-04:00,NQ,Short,436.04998779296875,440.510009765625,-228670.8070451806,-2338.898870490895
2024-04-08 12:30:00-04:00,NQ,Short,440.510009765625,440.989990234375,-258837.37832651433,-282.0296552291335
2024-04-08 13:30:00-04:00,NQ,Short,440.989990234375,441.0039978027344,-301640.0189254561,-9.581267780649364
2024-04-08 14:30:00-04:00,NQ,Short,441.0039978027344,441.0799865722656,-322048.92833159055,-55.491791264264016
2024-04-09 09:30:00-04:00,NQ,Short,441.0799865722656,440.3500061035156,-347330.4948350595,574.8265284063755
