exit_time,sym,entry_price,exit_price,dollar_pos,pnl,hold_bars
2024-02-04 16:00:00,DOGE,0.07931565,0.079576,106424.17610534652,349.332499311626,343
2024-02-04 16:00:00,GRT,0.15674,0.155388,37915.72016271269,-327.0515098889069,343
2024-02-04 19:00:00,ETH,2298.13436,2278.763,124816.36321889437,-1052.098061753001,346
2024-02-04 19:00:00,AVAX,36.2305,35.46855,28124.412732365574,-591.4739316715451,222
2024-02-04 20:00:00,BCH,240.2045,236.0935,47856.702978769354,-819.0475446784732,347
2024-02-05 01:00:00,SHIB,9.095e-06,8.87e-06,82717.60058961998,-2046.3397617003327,328
2024-02-05 03:00:00,LTC,68.848,67.105,81814.06966840512,-2071.257312224461,354
2024-02-05 03:00:00,BCH,236.0935,235.575,68067.12477796932,-149.48655595083417,354
2024-02-05 17:00:00,XRP,0.5103,0.5094,96943.82688213378,-170.97676698789255,368
2024-02-05 20:00:00,BCH,235.575,234.9385,90436.66992647703,-244.35080296381693,371
2024-02-06 04:00:00,XRP,0.5094,0.5064,69152.78385122864,-407.2602111379782,379
2024-02-06 08:00:00,BCH,234.9385,236.76,110769.51396985228,858.806324617227,383
2024-02-06 13:00:00,ETH,2278.763,2335.5095,87781.64023790594,2185.967056583044,388
2024-02-06 21:00:00,DOGE,0.079576,0.07885605,74166.04391289256,-671.00436457081,396
2024-02-06 22:00:00,LTC,67.105,68.3215,104886.93653194497,1901.4225212891838,397
2024-02-07,BCH,236.76,235.0745,79745.63816088822,-567.7110707897294,399
2024-02-07 05:00:00,BCH,235.0745,234.9165,100103.45670639261,-67.28227076781504,404
2024-02-07 16:00:00,LTC,68.3215,68.3405,83353.67002013908,23.180400465199057,415
2024-02-07 17:00:00,BCH,234.9165,237.19,123469.43926006269,1194.925729600733,416
2024-02-07 20:00:00,CRV,0.49513,0.48549,30362.949507941103,-591.1555212904759,419
2024-02-08 02:00:00,XRP,0.5064,0.5158,90669.37610371447,1683.041341577652,425
2024-02-08 05:00:00,SHIB,8.87e-06,9.3e-06,59836.02822043946,2900.731920494817,404
2024-02-08 06:00:00,ETH,2335.5095,2418.9225,64657.60279299763,2309.253985810082,429
2024-02-08 08:00:00,BCH,237.19,242.614,102960.48041925281,2354.4738218054217,431
2024-02-08 17:00:00,SHIB,9.3e-06,9.2e-06,36162.65259866261,-388.8457268673427,416
2024-02-08 23:00:00,LTC,68.3405,70.5135,103402.29866606818,3287.848274469237,446
2024-02-09,XRP,0.5158,0.5149,71466.59758232393,-124.69937538598755,447
2024-02-09 03:00:00,XRP,0.5149,0.5193,97931.7613597995,836.8610409460357,450
2024-02-09 07:00:00,DOGE,0.07885605,0.0819226,94006.92247927091,3655.736346530271,454
2024-02-09 08:00:00,AVAX,35.46855,36.282,48867.76153933214,1120.7529099489416,331
2024-02-09 11:00:00,ETH,2418.9225,2502.9315,90706.73244710291,3150.2381271614404,458
2024-02-09 12:00:00,BAT,0.227929,0.228841,62401.702046364815,249.684560833788,459
2024-02-09 16:00:00,AVAX,36.282,37.3735,70162.81260474217,2110.7631872023685,339
2024-02-09 16:00:00,SUSHI,1.06595,1.13115,61684.1657757653,3772.9796037149085,463
2024-02-09 20:00:00,SHIB,9.2e-06,9.365e-06,56614.40111754594,1015.3669765646781,443
2024-02-09 22:00:00,XRP,0.5193,0.5251,119284.25062262919,1332.2716225905112,469
2024-02-10 01:00:00,DOGE,0.0819226,0.0816945,75417.1727219607,-209.9867081596392,472
2024-02-10 02:00:00,LTC,70.5135,71.1876,64923.32902219375,620.658683711083,473
2024-02-10 07:00:00,BAT,0.228841,0.228028,42649.94007052827,-151.5218045601035,478
2024-02-10 08:00:00,GRT,0.155388,0.169165,60918.73403050131,5401.1725405965535,479
